epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4417.69,0.38868,0.23209,0.87913,0.98438,0.71525,0.84315,0.56376,1.38156,1.23761,1.36363,0.005842,0.005842,0.005842
44,4518.73,0.38701,0.23206,0.88038,0.99648,0.71641,0.84571,0.59182,1.3033,1.12544,1.3114,0.005743,0.005743,0.005743
45,4619.83,0.38207,0.22946,0.87841,0.995,0.71641,0.85102,0.59684,1.40003,1.19439,1.39017,0.005644,0.005644,0.005644
46,4720.77,0.37454,0.22535,0.8766,0.99242,0.71794,0.83511,0.57693,1.51133,1.11207,1.54399,0.005545,0.005545,0.005545
47,4821.85,0.37399,0.22311,0.875,0.9883,0.71603,0.86159,0.57947,1.42188,0.99467,1.35231,0.005446,0.005446,0.005446
48,4922.74,0.3786,0.22513,0.87787,0.97425,0.71223,0.8411,0.54463,1.59466,1.13816,1.61538,0.005347,0.005347,0.005347
49,5023.7,0.37101,0.22318,0.87445,0.82163,0.79275,0.87165,0.56882,1.45518,1.02251,1.46132,0.005248,0.005248,0.005248
50,5124.74,0.36989,0.21992,0.87405,0.93804,0.71908,0.83981,0.5623,1.47033,1.36712,1.38876,0.005149,0.005149,0.005149
51,5225.8,0.37044,0.21971,0.87402,0.94363,0.75263,0.85797,0.56289,1.56626,0.96821,1.62671,0.00505,0.00505,0.00505
52,5326.89,0.36126,0.21756,0.87088,0.98262,0.71183,0.81831,0.56399,1.57839,1.17761,1.57311,0.004951,0.004951,0.004951
53,5427.95,0.36499,0.21781,0.87481,0.98774,0.71587,0.83756,0.57167,1.33121,1.09721,1.3129,0.004852,0.004852,0.004852
54,5528.93,0.36053,0.21589,0.87265,0.99277,0.70883,0.84546,0.56664,1.50751,1.39336,1.45911,0.004753,0.004753,0.004753
55,5629.81,0.36039,0.21517,0.87465,0.9934,0.71641,0.84908,0.58052,1.36971,1.29735,1.35293,0.004654,0.004654,0.004654
56,5730.82,0.36083,0.21517,0.87421,0.98657,0.71183,0.84591,0.56017,1.47497,1.00291,1.34996,0.004555,0.004555,0.004555
57,5831.85,0.34666,0.20844,0.86701,0.99599,0.71471,0.85154,0.58941,1.4278,1.32315,1.38143,0.004456,0.004456,0.004456
58,5932.87,0.34704,0.20746,0.86936,0.99397,0.71641,0.84843,0.58243,1.40534,1.01017,1.36543,0.004357,0.004357,0.004357
59,6033.91,0.34178,0.20312,0.86451,0.99516,0.71742,0.83751,0.57412,1.4394,1.007,1.37336,0.004258,0.004258,0.004258
60,6134.95,0.34802,0.206,0.86907,0.98866,0.71233,0.84597,0.58027,1.38281,1.22647,1.34436,0.004159,0.004159,0.004159
61,6235.83,0.3462,0.20513,0.86571,0.99628,0.71641,0.836,0.56544,1.40807,1.01458,1.34358,0.00406,0.00406,0.00406
62,6336.68,0.34578,0.2047,0.86657,0.99529,0.71603,0.84393,0.5693,1.46314,1.17072,1.42101,0.003961,0.003961,0.003961
63,6437.7,0.34265,0.20138,0.86684,0.99504,0.71298,0.84344,0.5753,1.36308,0.97527,1.32269,0.003862,0.003862,0.003862
